created_date,metric_value
2015-05-28 12:04:05,40
2015-05-29 12:04:05,10
2015-05-30 12:04:05,40
2015-05-31 12:04:05,30
2015-06-01 12:04:05,30
2015-06-02 12:04:05,30
2015-05-28 12:04:05,10
2015-06-03 12:04:05,10
2015-05-29 12:04:05,0
2015-06-04 12:04:05,20
2015-05-30 12:04:05,10
2015-05-31 12:04:05,40
2015-06-05 12:04:05,20
2015-06-01 12:04:05,0
2015-06-06 12:04:05,30
2015-06-02 12:04:05,0
2015-05-28 12:04:05,40
2015-06-07 12:04:05,40
2015-06-03 12:04:05,10
2015-06-08 12:04:05,20
2015-05-29 12:04:05,40
2015-06-04 12:04:05,30
2015-06-09 12:04:05,10
2015-05-30 12:04:05,40
2015-06-05 12:04:05,40
2015-06-10 12:04:05,0
2015-05-31 12:04:05,40
2015-06-11 12:04:05,20
2015-06-06 12:04:05,40
2015-06-01 12:04:05,10
2015-06-12 12:04:05,30
2015-06-07 12:04:05,10
2015-06-02 12:04:05,0
2015-06-13 12:04:05,40
2015-06-08 12:04:05,40
2015-06-09 12:04:05,20
2015-06-14 12:04:05,40
2015-06-03 12:04:05,10
2015-06-10 12:04:05,40
2015-06-11 12:04:05,10
2015-06-04 12:04:05,20
2015-06-15 12:04:05,40
2015-06-12 12:04:05,40
2015-06-05 12:04:05,10
2015-06-16 12:04:05,40
2015-06-13 12:04:05,10
2015-06-06 12:04:05,0
2015-06-17 12:04:05,10
2015-06-14 12:04:05,40
2015-06-07 12:04:05,40
2015-06-18 12:04:05,0
2015-06-08 12:04:05,30
2015-06-15 12:04:05,10
2015-06-19 12:04:05,40
2015-06-09 12:04:05,20
2015-06-16 12:04:05,0
2015-06-20 12:04:05,0
2015-06-10 12:04:05,0
2015-06-17 12:04:05,20
2015-06-21 12:04:05,0
2015-06-11 12:04:05,40
2015-06-18 12:04:05,0
2015-06-22 12:04:05,10
2015-06-12 12:04:05,30
2015-06-19 12:04:05,30
2015-06-23 12:04:05,20
2015-06-13 12:04:05,30
2015-06-20 12:04:05,10
2015-06-14 12:04:05,40
2015-06-24 12:04:05,0
2015-06-25 12:04:05,0
